medcodeid,term,cleansedreadcode,snomedctconceptid,_qofcode,smi
294919015,acute hysterical psychosis,E131.00,191677006,1,1
367121000006119,"[x]bipolar affective disorder, current episode mixed",Eu31600,192362008,1,1
398541000006116,"bipolar affective disorder , current episode mixed",Eu3y011,192362008,1,1
4767311000006117,"bipolar affective disorder, current episode mixed",,192362008,1,1
2806351000006114,"severe bipolar ii disorder, most recent episode major depressive with psychotic features, mood-congruent",,19300006,0,1
2808601000006117,opioid induced psychosis with hallucinations,,19445006,0,1
1974351000006118,"paranoid schizophrenia, continuous",,1974351000006102,0,1
1974391000006112,"paranoid schizophrenia, episodic with progressive deficit",,1974391000006108,0,1
1974431000006118,"paranoid schizophrenia, episodic with stable deficit",,1974431000006102,0,1
1974451000006113,"paranoid schizophrenia, episodic remittent",,1974451000006109,0,1
1974481000006117,"paranoid schizophrenia, incomplete remission",,1974481000006101,0,1
1974511000006113,"paranoid schizophrenia, complete remission",,1974511000006109,0,1
1974541000006112,"paranoid schizophrenia, course uncertain, period of observation too short",,1974541000006108,0,1
1974601000006111,"hebephrenic schizophrenia, continuous",,1974601000006107,0,1
1974611000006114,"hebephrenic schizophrenia, episodic with progressive deficit",,1974611000006105,0,1
1974621000006118,"hebephrenic schizophrenia, episodic with stable deficit",,1974621000006102,0,1
1974641000006113,"hebephrenic schizophrenia, episodic remittent",,1974641000006109,0,1
1974671000006117,"hebephrenic schizophrenia, incomplete remission",,1974671000006101,0,1
1974691000006116,"hebephrenic schizophrenia, complete remission",,1974691000006100,0,1
1974721000006114,"hebephrenic schizophrenia, course uncertain, period of observation too short",,1974721000006105,0,1
1974751000006117,"catatonic schizophrenia, continuous",,1974751000006101,0,1
1974781000006113,"catatonic schizophrenia, episodic with progressive deficit",,1974781000006109,0,1
1974801000006112,"catatonic schizophrenia, episodic with stable deficit",,1974801000006108,0,1
1974831000006116,"catatonic schizophrenia, episodic remittent",,1974831000006100,0,1
1974861000006113,"catatonic schizophrenia, incomplete remission",,1974861000006109,0,1
1974891000006117,"catatonic schizophrenia, complete remission",,1974891000006101,0,1
1974921000006111,"catatonic schizophrenia, course uncertain, period of observation too short",,1974921000006107,0,1
1974951000006119,"undifferentiated schizophrenia, continuous",,1974951000006103,0,1
1974971000006112,"undifferentiated schizophrenia, episodic with progressive deficit",,1974971000006108,0,1
1975001000006118,"undifferentiated schizophrenia, episodic with stable deficit",,1975001000006102,0,1
1975021000006111,"undifferentiated schizophrenia, episodic remittent",,1975021000006107,0,1
1975051000006119,"undifferentiated schizophrenia, incomplete remission",,1975051000006103,0,1
1975081000006110,"undifferentiated schizophrenia, complete remission",,1975081000006106,0,1
1975161000006118,"undifferentiated schizophrenia, course uncertain, period of observation too short",,1975161000006102,0,1
1975191000006114,"post-schizophrenic depression, continuous",,1975191000006105,0,1
1975211000006110,"post-schizophrenic depression, episodic with progressive deficit",,1975211000006106,0,1
1975231000006116,"post-schizophrenic depression, episodic with stable deficit",,1975231000006100,0,1
1975261000006113,"post-schizophrenic depression, episodic remittent",,1975261000006109,0,1
1975281000006115,"post-schizophrenic depression, incomplete remission",,1975281000006104,0,1
1975301000006116,"post-schizophrenic depression, complete remission",,1975301000006100,0,1
1975321000006114,"post-schizophrenic depression, course uncertain, period of observation too short",,1975321000006105,0,1
1975351000006117,"residual schizophrenia, continuous",,1975351000006101,0,1
1975381000006113,"residual schizophrenia, episodic with progressive deficit",,1975381000006109,0,1
1975401000006113,"residual schizophrenia, episodic with stable deficit",,1975401000006109,0,1
1975431000006117,"residual schizophrenia, episodic remittent",,1975431000006101,0,1
1975441000006110,"residual schizophrenia, incomplete remission",,1975441000006106,0,1
1975471000006119,"residual schizophrenia, complete remission",,1975471000006103,0,1
1975481000006116,"residual schizophrenia, course uncertain, period of observation too short",,1975481000006100,0,1
1975491000006118,"simple schizophrenia, continuous",,1975491000006102,0,1
1975501000006114,"simple schizophrenia, episodic with progressive deficit",,1975501000006105,0,1
1975521000006116,"simple schizophrenia, episodic with stable deficit",,1975521000006100,0,1
1975551000006113,"simple schizophrenia, episodic remittent",,1975551000006109,0,1
1975571000006115,"simple schizophrenia, incomplete remission",,1975571000006104,0,1
1975601000006110,"simple schizophrenia, complete remission",,1975601000006106,0,1
1975641000006112,"simple schizophrenia, course uncertain, period of observation too short",,1975641000006108,0,1
1975681000006118,"acute polymorphic psychot disord with symp of schizophren, without associated acute stress",,1975681000006102,0,1
1975691000006115,"acute polymorphic psychot disord with symp of schizophren, with associated acute stress",,1975691000006104,0,1
1975711000006117,"acute schizophrenia-like psychotic disorder, without associated acute stress",,1975711000006101,0,1
1975731000006111,"acute schizophrenia-like psychotic disorder, with associated acute stress",,1975731000006107,0,1
1975751000006116,"other schizophrenia, continuous",,1975751000006100,0,1
1975771000006114,"other schizophrenia, episodic with progressive deficit",,1975771000006105,0,1
1975801000006111,"other schizophrenia, episodic with stable deficit",,1975801000006107,0,1
1975831000006115,"other schizophrenia, episodic remittent",,1975831000006104,0,1
1975841000006113,"other schizophrenia, incomplete remission",,1975841000006109,0,1
1975881000006119,"other schizophrenia, complete remission",,1975881000006103,0,1
1975911000006119,"other schizophrenia, course uncertain, period of observation too short",,1975911000006103,0,1
1975931000006113,"bipolar affect disorder cur epi mild or moderate depressn, without somatic syndrome",,1975931000006109,0,1
1975941000006115,"bipolar affect disorder cur epi mild or moderate depressn, with somatic syndrome",,1975941000006104,0,1
1976001000006113,"schizophrenia, unspecified, continuous",,1976001000006109,0,1
1976061000006114,"schizophrenia, unspecified, episodic with progressive deficit",,1976061000006105,0,1
1976101000006112,"schizophrenia, unspecified, episodic with stable deficit",,1976101000006108,0,1
1976121000006119,"schizophrenia, unspecified, episodic remittent",,1976121000006103,0,1
1976141000006114,"schizophrenia, unspecified, incomplete remission",,1976141000006105,0,1
1976151000006111,"schizophrenia, unspecified, complete remission",,1976151000006107,0,1
1976171000006118,"schizophrenia, unspecified, course uncertain, period of observation too short",,1976171000006102,0,1
1976881000006112,"paranoid schizophrenia, other",,1976881000006108,0,1
1976891000006110,"hebephrenic schizophrenia, other",,1976891000006106,0,1
1976901000006114,"catatonic schizophrenia, other",,1976901000006105,0,1
1976911000006112,"undifferentiated schizophrenia, other",,1976911000006108,0,1
1976921000006116,"post-schizophrenic depression, other",,1976921000006100,0,1
1976931000006118,"residual schizophrenia, other",,1976931000006102,0,1
1976941000006111,"simple schizophrenia, other",,1976941000006107,0,1
1976951000006113,"other schizophrenia, other",,1976951000006109,0,1
1976961000006110,"schizophrenia, unspecified, other",,1976961000006106,0,1
300411000000110,h/o: psychosis,146H.00,198991000000103,0,1
300931000000113,referral to psychosis early intervention service,8HHs.00,199191000000109,0,1
996171000006114,"psychosis, schizophrenia and bipolar affective disorder resolved",212T.00,200951000000109,0,1
2823981000006116,opioid psychosis with delusions,,20385005,0,1
2833511000006116,"severe bipolar ii disorder, most recent episode major depressive with psychotic features, mood-incongruent",,20960007,0,1
8009371000006115,phencyclidine psychosis,,21831000119109,0,1
2848341000006118,"bipolar i disorder, most recent episode depressed with catatonic features",,21900002,0,1
2852391000006114,"bipolar i disorder, most recent episode depressed, in full remission",,22121000,0,1
2852381000006111,depressed bipolar i disorder in full remission,,22121000,0,1
2857081000006110,"bipolar ii disorder, most recent episode major depressive with catatonic features",,22407005,0,1
4997831000006110,schizophrenic language,,229673004,0,1
294926015,other reactive psychoses,E13y.00,231437006,1,1
294929010,other reactive psychoses nos,E13yz00,231437006,1,1
346896012,reactive psychoses,E13..11,231437006,1,1
424511000006112,[x]reactive psychosis,Eu23z12,231437006,1,1
5023391000006116,reactive psychosis,,231437006,1,1
5023541000006116,psychosis associated with intensive care,,231450007,0,1
5023551000006119,intensive care psychosis,,231450007,0,1
5023901000006110,post-schizophrenic depression,,231485007,1,1
423041000006119,[x]post-schizophrenic depression,Eu20400,231485007,1,1
394461000006110,[x]involutional paranoid state,Eu22y12,231487004,1,1
418181000006110,[x]paranoia querulans,Eu22y13,231487004,1,1
367991000006119,[x]brief reactive psychosis nos,Eu23z11,231489001,1,1
223601000000119,manic psychosis,E11..13,231494001,1,1
296118012,[x]other manic episodes,Eu30y00,231494001,1,1
8011471000006113,severe manic bipolar i disorder,,23741000119105,0,1
5128631000006110,cutaneous monosymptomatic delusional psychosis,,238972008,1,1
2885171000006112,bipolaris,,24145000,0,1
2885181000006110,genus bipolaris,,24145000,0,1
2885191000006113,bipolaris species,,24145000,0,1
423271000006116,prepsychotic schizophrenia,Eu21.14,247804008,1,1
423471000006117,prodromal schizophrenia,Eu21.15,247804008,1,1
5248961000006113,schizophrenic prodrome,,247804008,1,1
5387561000006118,bipolar diathermy,,257797008,0,1
169061000006112,restzustand - schizophrenia,E106.11,26025008,1,1
424841000006113,[x]residual schizophrenia,Eu20500,26025008,1,1
424931000006113,[x]restzustand schizophrenic,Eu20512,26025008,1,1
43595011,residual schizophrenia,E106.00,26025008,1,1
5435901000006117,bipolar,,260994008,0,1
7965151000006112,severe depressed bipolar i disorder,,261000119107,0,1
2919421000006112,"severe depressed bipolar i disorder with psychotic features, mood-incongruent",,26203008,0,1
2919431000006110,"severe bipolar i disorder, most recent episode depressed with psychotic features, mood-incongruent",,26203008,0,1
2924901000006115,"severe bipolar disorder with psychotic features, mood-incongruent",,26530004,0,1
2927881000006111,cannabis psychosis with hallucinations,,26714005,0,1
401763015,acute schizophrenic episode,E104.00,268617001,1,1
401765010,"manic disorder, single episode",E110.00,268619003,1,1
401864017,"[x]manic episode, unspecified",Eu30z00,268619003,1,1
294809010,"manic disorder, single episode nos",E110z00,268619003,1,1
396741000006113,[x]manic episode,Eu30.00,268619003,1,1
294802018,"single manic episode, unspecified",E110000,268619003,1,1
367151000006111,"[x]bipolar disorder, single manic episode",Eu30.11,268619003,1,1
401768012,chronic paranoid psychosis,E121.00,268622001,1,1
5517971000006118,mixed schizophrenic and affective psychosis,,270901009,1,1
398631000006113,mixed schizophrenic and affective pschosis,Eu25212,270901009,1,1
376251000006112,[x]cyclic schizophrenia,Eu25211,270901009,1,1
7965161000006114,severe mixed bipolar i disorder,,271000119101,0,1
425701000006119,"[x]schizophreniform psychosis, manic type",Eu25012,271428004,1,1
5524571000006112,"schizophreniform psychosis, manic type",,271428004,1,1
425571000006119,"[x]schizoaffective psychosis, manic type",Eu25011,271428004,1,1
2938961000006110,subchronic disorganized schizophrenia,,27387000,0,1
2938951000006113,subchronic disorganised schizophrenia,,27387000,0,1
294736018,subchronic hebephrenic schizophrenia,E101100,27387000,0,1
367951000006113,borderline schizophrenia,Eu21.12,274952002,1,1
5614121000006115,involutional paranoid state,,278506006,1,1
425671000006115,[x]schizophrenic reaction,Eu23214,278853003,1,1
368011000006110,[x]brief schizophrenifrm psych,Eu23212,278853003,1,1
368001000006112,[x]brief schizophreniform disorder,Eu23211,278853003,1,1
362421000006113,acute schizophrenia-like psychotic disorder,Eu23200,278853003,1,1
492761000000114,bipolar affective disorder resolved,212V.00,285491000000101,0,1
492821000000113,schizophrenia resolved,212W.00,285521000000103,0,1
492881000000114,psychosis resolved,212X.00,285551000000108,0,1
2960491000006119,severe manic bipolar i disorder with psychotic features,,28663008,1,1
2960501000006110,"severe bipolar i disorder, most recent episode manic, with psychotic features",,28663008,1,1
8089081000006116,psychosis caused by inhalant,,288461000119105,0,1
8089301000006110,"reactive depressive psychosis, single episode",,288751000119101,0,1
2964521000006113,"moderate bipolar i disorder, single manic episode",,28884001,0,1
2976051000006113,chronic undifferentiated schizophrenia,,29599000,0,1
2981801000006118,"bipolar i disorder, most recent episode depressed with atypical features",,29929003,0,1
2988481000006116,chronic residual schizophrenia with acute exacerbations,,30336007,0,1
5933701000006116,"profile of mood states, bipolar",,304757008,0,1
5933841000006114,rust inventory of schizotypal cognitions,,304767003,0,1
2991561000006115,"severe bipolar ii disorder, most recent episode major depressive with psychotic features",,30520009,0,1
2994631000006113,"bipolar ii disorder, most recent episode major depressive with postpartum onset",,30687003,0,1
376281000006116,cycloid psychosis,Eu23112,307417003,1,1
376271000006119,[x]cycloid psychosis,Eu23012,307417003,1,1
2998701000006116,manic bipolar i disorder in full remission,,30935000,0,1
2998711000006118,"bipolar i disorder, most recent episode manic, in full remission",,30935000,0,1
423741000006116,[x]pseudopsychopathic schizophrenia,Eu21.17,31027006,1,1
425731000006110,[x]schizotypal personality disorder,Eu21.18,31027006,1,1
401856011,schizotypal personality disorder,Eu21.00,31027006,1,1
423731000006114,[x]pseudoneurotic schizophrenia,Eu21.16,31027006,1,1
155281000006119,schizotypal personality,E212200,31027006,1,1
3005061000006111,bipolaris hawaiiense,,31335001,0,1
3005081000006118,bipolaris hawaiiensis,,31335001,0,1
3005591000006114,disorganised schizophrenia in remission,,31373002,0,1
3005601000006118,disorganized schizophrenia in remission,,31373002,0,1
3005611000006115,"disorganized schizophrenia, in remission",,31373002,0,1
294740010,hebephrenic schizophrenia in remission,E101500,31373002,0,1
52897013,chronic paranoid schizophrenia,E103200,31658008,1,1
3036151000006112,monosymptomatic hypochondriacal psychosis,,33323008,1,1
3037081000006119,"severe bipolar i disorder, most recent episode manic, with psychotic features, mood-incongruent",,33380008,0,1
3037071000006117,"severe manic bipolar i disorder with psychotic features, mood-incongruent",,33380008,0,1
3052571000006110,"bipolar ii disorder, most recent episode major depressive with melancholic features",,34315001,0,1
3067411000006110,chronic disorganised schizophrenia with acute exacerbations,,35218008,0,1
3067421000006119,chronic disorganized schizophrenia with acute exacerbations,,35218008,0,1
294741014,hebephrenic schizophrenia nos,E101z00,35252006,1,1
378051000006119,[x]disorganised schizophrenia,Eu20111,35252006,1,1
294735019,unspecified hebephrenic schizophrenia,E101000,35252006,1,1
819351000006115,hebephrenic schizophrenia,E101.00,35252006,1,1
3068121000006112,disorganised schizophrenia,,35252006,1,1
3068131000006110,disorganized schizophrenia,,35252006,1,1
388741000006110,[x]hebephrenic schizophrenia,Eu20100,35252006,1,1
2555241000006115,"bipolar 1 disorder, single manic episode, full remission",,3530005,0,1
2555231000006113,"bipolar i disorder, single manic episode, in full remission",,3530005,0,1
3071531000006119,"bipolar i disorder, most recent episode mixed, in remission",,35481005,0,1
3071521000006117,mixed bipolar i disorder in remission,,35481005,0,1
613791000006115,depressive psychoses,E11..12,35489007,0,1
3075241000006112,"severe bipolar ii disorder, most recent episode major depressive, in remission",,35722002,0,1
3077201000006119,"moderate bipolar ii disorder, most recent episode major depressive",,35846004,0,1
428441000006116,[x]symbiotic psychosis,Eu84314,35919005,0,1
3082681000006117,schizophreniform disorder with good prognostic features,,36158005,0,1
396771000006117,"[x] manic-depressive psychosis, depressed type without psychotic symptoms",Eu33213,36474008,0,1
3089781000006115,mixed bipolar i disorder in partial remission,,36583000,0,1
3089791000006117,"bipolar i disorder, most recent episode mixed, in partial remission",,36583000,0,1
